Flag,Name,Category
turkey,Turkey,birds
white_cockatoo,White Cockatoo,birds
swan,Mute Swan,birds
penguin,Emperor Penguin,birds
bald_eagle,Bald Eagle,birds
indian_peafowl,Peacock,birds
mallard,Mallard Duck,birds
ostrich,Ostrich,birds
hummingbird,Hummingbird,birds
pelican,American White Pelican,birds
chicken,Chicken,birds
egret,Eastern Great Egret,birds
cardinal,Cardinal,birds
swallow,Tree Swallow,birds
dove,Mourning Dove,birds
blackbird,Red-winged Blackbird,birds
sparrow,House Sparrow,birds
mockingbird,Northern Mockingbird,birds
flamingo,Greater Flamingo,birds
vulture,Black Vulture,birds
owl,Barred Owl,birds
falcon,Peregrine Falcon,birds
weaverbird,Weaverbird,birds
kingfisher,Common Kingfisher,birds
woodpecker,Pileated Woodpecker,birds
macaw,Blue and Yellow Macaw,birds
motmot,Blue Crown Motmot,birds
ibis,Scarlet Ibis,birds
heron,Great Blue Heron,birds
crow,Jungle Crow,birds
ringed_parakeet,Rose-ringed Parakeet,birds
crowned_crane,Golden-crowned Crane,birds
flycatcher,Verditer Flycatcher,birds
langur,Grey Langur,mammals
desert_fox,Desert Fox,mammals
cattle,Cattle,mammals
sheep,Sheep,mammals
horse,Horse,mammals
pig,Pig,mammals
goat,Goat,mammals
donkey,Donkey,mammals
cat,Cat,mammals
dog,Dog,mammals
rabbit,Rabbit,mammals
zebu,Zebu,mammals
water_buffalo,Water Buffalo,mammals
lion,Lion,mammals
tiger,Royal Bengal Tiger,mammals
giraffe,Giraffe,mammals
gorilla,Gorilla,mammals
chimpanzee,Chimpanzee,mammals
hippopotamus,Hippopotamus,mammals
llama,Llama,mammals
yak,Yak,mammals
caribou,Woodland Caribou,mammals
panda,Giant Panda,mammals
american_bison,American Bison,mammals
rhino,Black Rhinoceros,mammals
brown_bear,Brown Bear,mammals
elephant,Asian Elephant,mammals
dromedary_camel,Dromedary Camel,mammals
jaguar,Jaguar,mammals
cougar,Cougar,mammals
snow_leopard,Snow Leopard,mammals
hyena,Spotted Hyena,mammals
seal,Elephant Seal,mammals
roller,European Roller,birds
blackbuck,Blackbuck,mammals
altimira_oriole,Altimira Oriole,birds
badger,American Badger,mammals
goldfinch,American Goldfinch,birds
magpie,Black-billed Magpie,birds
blue_whistling_thrush,Blue Whistling Thrush,birds
ca_gull,California Gull,birds
chital,Chital,mammals
elk,Elk,mammals
marabou_stork,Marabou Stork,birds
moose,Moose,mammals
polar_bear,Polar Bear,mammals
porcupine,Porcupine,mammals
raccoon,Raccoon,mammals
ruddy_duck,Ruddy Duck,birds
niltava,Rufous Bellied Niltava,birds
sanderling,Sanderling,birds
sea_otter,Sea Otter,mammals
wolf,Wolf,mammals
sambar,Sambar Deer,mammals
snow_monkey,Snow Monkey,mammals
grey_bushchat,Grey Bushchat,birds
montagu_harrier,Montagu's Harrier,birds
